,phase_out,repeal_bens,cutoff_ratio,poverty,cost,pct_loser,adult_amount,child_amount,pov_chg
0,inf,,1.0,0.11713170427462283,0.0,0.0,,,0.0
1,inf,,1.3,0.11713170427462283,0.0,0.0,,,0.0
2,inf,"spmeitc,spmcaphous,spmsnap,spmincwelfr,spmincunemp,spmlunch",1.0,0.15181170506872815,-124604158970.81,0.4140376895827792,,,0.29607697598931737
3,inf,"spmeitc,spmcaphous,spmsnap,spmincwelfr,spmincunemp,spmlunch",1.3,0.15181170506872815,-124604158970.81,0.4140376895827792,,,0.29607697598931737
4,0.5,,1.0,0.025057792272060474,657196473823.585,0.0,,,-0.7860716496251872
5,0.5,,1.3,0.010012118747303463,1000333639046.597,0.0,,,-0.9145225555343292
6,0.5,"spmeitc,spmcaphous,spmsnap,spmincwelfr,spmincunemp,spmlunch",1.0,0.03810269770269071,535049083126.49,0.1977324418634418,,,-0.6747020976203294
7,0.5,"spmeitc,spmcaphous,spmsnap,spmincwelfr,spmincunemp,spmlunch",1.3,0.01290994519637302,878921877086.911,0.14960963523750626,,,-0.8897826572547359
8,0.25,,1.0,0.016635383090819075,1013050159193.4875,0.0,,,-0.8579771105198268
9,0.25,,1.3,0.005870929428020628,1555331390981.398,0.0,,,-0.949877537730896
10,0.25,"spmeitc,spmcaphous,spmsnap,spmincwelfr,spmincunemp,spmlunch",1.0,0.02412813220383529,890831490259.3901,0.09838245583003541,,,-0.794008527808446
11,0.25,"spmeitc,spmcaphous,spmsnap,spmincwelfr,spmincunemp,spmlunch",1.3,0.007705920440243729,1433706423722.613,0.06657316893450776,,,-0.9342114887855067
12,0.0,,1.0,0.013046178779894899,2708504084620.6406,0.0,,,-0.8886195769054355
13,0.0,,1.3,0.004673675832686783,3521055310006.8325,0.0,,,-0.9600989684079978
14,0.0,"spmeitc,spmcaphous,spmsnap,spmincwelfr,spmincunemp,spmlunch",1.0,0.019029456147415438,2583899925649.8296,0.0017957485018339945,,,-0.8375379555410578
15,0.0,"spmeitc,spmcaphous,spmsnap,spmincwelfr,spmincunemp,spmlunch",1.3,0.006181575060399411,3396451151036.022,0.0005103218492732663,,,-0.9472254322714684
0,inf,,,0.07390453546247053,0.0,0.0,13300.0,4516.0,-0.3690475527514175
1,inf,"spmeitc,spmcaphous,spmsnap,spmincwelfr,spmincunemp,spmlunch",,0.10251824240752296,-98981324839.15,0.38195602338616474,13300.0,4516.0,-0.12476094288560567
2,0.5,,,0.011279961755592774,882863183766.285,0.0,13300.0,4516.0,-0.9036984749308677
3,0.5,"spmeitc,spmcaphous,spmsnap,spmincwelfr,spmincunemp,spmlunch",,0.016252204203339934,761510520778.365,0.16373950212407945,13300.0,4516.0,-0.8612484612600223
4,0.25,,,0.008283373786625643,1512993569975.42,0.0,13300.0,4516.0,-0.9292815396316207
5,0.25,"spmeitc,spmcaphous,spmsnap,spmincwelfr,spmincunemp,spmlunch",,0.01177202725415635,1391533771933.2275,0.061703226286959525,13300.0,4516.0,-0.899497515834346
6,0.0,,,0.007070271761319647,3588460814474.6797,0.0,13300.0,4516.0,-0.9396382746660721
7,0.0,"spmeitc,spmcaphous,spmsnap,spmincwelfr,spmincunemp,spmlunch",,0.009928883953609014,3463856655503.87,0.0008578585170337349,13300.0,4516.0,-0.9152331641113144
